date,unemployment_rate,gdp,cpi,oil_price
1946-01-01,nan,nan,nan,1.17
1946-02-01,nan,nan,nan,1.17
1946-03-01,nan,nan,nan,1.17
1946-04-01,nan,nan,nan,1.27
1946-05-01,nan,nan,nan,1.27
1946-06-01,nan,nan,nan,1.27
1946-07-01,nan,nan,nan,1.27
1946-08-01,nan,nan,nan,1.52
1946-09-01,nan,nan,nan,1.52
1946-10-01,nan,nan,nan,1.52
1946-11-01,nan,nan,nan,1.52
1946-12-01,nan,nan,nan,1.62
1947-01-01,nan,2182.681,nan,1.62
1947-02-01,nan,2182.681,nan,1.62
1947-03-01,nan,2182.681,nan,1.62
1947-04-01,nan,2176.892,nan,1.87
1947-05-01,nan,2176.892,nan,1.87
1947-06-01,nan,2176.892,nan,1.87
1947-07-01,nan,2172.432,nan,1.87
1947-08-01,nan,2172.432,nan,1.87
1947-09-01,nan,2172.432,nan,1.87
1947-10-01,nan,2206.452,nan,1.87
1947-11-01,nan,2206.452,nan,2.07
1947-12-01,nan,2206.452,nan,2.07
1948-01-01,3.4,2239.682,nan,2.57
1948-02-01,3.8,2239.682,nan,2.57
1948-03-01,4.0,2239.682,nan,2.57
1948-04-01,3.9,2276.69,nan,2.57
1948-05-01,3.5,2276.69,nan,2.57
1948-06-01,3.6,2276.69,nan,2.57
1948-07-01,3.6,2289.77,nan,2.57
1948-08-01,3.9,2289.77,nan,2.57
1948-09-01,3.8,2289.77,nan,2.57
1948-10-01,3.7,2292.364,nan,2.57
1948-11-01,3.8,2292.364,nan,2.57
1948-12-01,4.0,2292.364,nan,2.57
1949-01-01,4.3,2260.807,nan,2.57
1949-02-01,4.7,2260.807,nan,2.57
1949-03-01,5.0,2260.807,nan,2.57
1949-04-01,5.3,2253.128,nan,2.57
1949-05-01,6.1,2253.128,nan,2.57
1949-06-01,6.2,2253.128,nan,2.57
1949-07-01,6.7,2276.424,nan,2.57
1949-08-01,6.8,2276.424,nan,2.57
1949-09-01,6.6,2276.424,nan,2.57
1949-10-01,7.9,2257.352,nan,2.57
1949-11-01,6.4,2257.352,nan,2.57
1949-12-01,6.6,2257.352,nan,2.57
1950-01-01,6.5,2346.104,nan,2.57
1950-02-01,6.4,2346.104,nan,2.57
1950-03-01,6.3,2346.104,nan,2.57
1950-04-01,5.8,2417.682,nan,2.57
1950-05-01,5.5,2417.682,nan,2.57
1950-06-01,5.4,2417.682,nan,2.57
1950-07-01,5.0,2511.127,nan,2.57
1950-08-01,4.5,2511.127,nan,2.57
1950-09-01,4.4,2511.127,nan,2.57
1950-10-01,4.2,2559.214,nan,2.57
1950-11-01,4.2,2559.214,nan,2.57
1950-12-01,4.3,2559.214,nan,2.57
1951-01-01,3.7,2593.967,nan,2.57
1951-02-01,3.4,2593.967,nan,2.57
1951-03-01,3.4,2593.967,nan,2.57
1951-04-01,3.1,2638.898,nan,2.57
1951-05-01,3.0,2638.898,nan,2.57
1951-06-01,3.2,2638.898,nan,2.57
1951-07-01,3.1,2693.259,nan,2.57
1951-08-01,3.1,2693.259,nan,2.57
1951-09-01,3.3,2693.259,nan,2.57
1951-10-01,3.5,2699.156,nan,2.57
1951-11-01,3.5,2699.156,nan,2.57
1951-12-01,3.1,2699.156,nan,2.57
1952-01-01,3.2,2727.954,nan,2.57
1952-02-01,3.1,2727.954,nan,2.57
1952-03-01,2.9,2727.954,nan,2.57
1952-04-01,2.9,2733.8,nan,2.57
1952-05-01,3.0,2733.8,nan,2.57
1952-06-01,3.0,2733.8,nan,2.57
1952-07-01,3.2,2753.517,nan,2.57
1952-08-01,3.4,2753.517,nan,2.57
1952-09-01,3.1,2753.517,nan,2.57
1952-10-01,3.0,2843.941,nan,2.57
1952-11-01,2.8,2843.941,nan,2.57
1952-12-01,2.7,2843.941,nan,2.57
1953-01-01,2.9,2896.811,nan,2.57
1953-02-01,2.6,2896.811,nan,2.57
1953-03-01,2.6,2896.811,nan,2.57
1953-04-01,2.7,2919.206,nan,2.57
1953-05-01,2.5,2919.206,nan,2.57
1953-06-01,2.5,2919.206,nan,2.82
1953-07-01,2.6,2902.785,nan,2.82
1953-08-01,2.7,2902.785,nan,2.82
1953-09-01,2.9,2902.785,nan,2.82
1953-10-01,3.1,2858.845,nan,2.82
1953-11-01,3.5,2858.845,nan,2.82
1953-12-01,4.5,2858.845,nan,2.82
1954-01-01,4.9,2845.192,nan,2.82
1954-02-01,5.2,2845.192,nan,2.82
1954-03-01,5.7,2845.192,nan,2.82
1954-04-01,5.9,2848.305,nan,2.82
1954-05-01,5.9,2848.305,nan,2.82
1954-06-01,5.6,2848.305,nan,2.82
1954-07-01,5.8,2880.482,nan,2.82
1954-08-01,6.0,2880.482,nan,2.82
1954-09-01,6.1,2880.482,nan,2.82
1954-10-01,5.7,2936.852,nan,2.82
1954-11-01,5.3,2936.852,nan,2.82
1954-12-01,5.0,2936.852,nan,2.82
1955-01-01,4.9,3020.746,nan,2.82
1955-02-01,4.7,3020.746,nan,2.82
1955-03-01,4.6,3020.746,nan,2.82
1955-04-01,4.7,3069.91,nan,2.82
1955-05-01,4.3,3069.91,nan,2.82
1955-06-01,4.2,3069.91,nan,2.82
1955-07-01,4.0,3111.379,nan,2.82
1955-08-01,4.2,3111.379,nan,2.82
1955-09-01,4.1,3111.379,nan,2.82
1955-10-01,4.3,3130.068,nan,2.82
1955-11-01,4.2,3130.068,nan,2.82
1955-12-01,4.2,3130.068,nan,2.82
1956-01-01,4.0,3117.922,nan,2.82
1956-02-01,3.9,3117.922,nan,2.82
1956-03-01,4.2,3117.922,nan,2.82
1956-04-01,4.0,3143.694,nan,2.82
1956-05-01,4.3,3143.694,nan,2.82
1956-06-01,4.3,3143.694,nan,2.82
1956-07-01,4.4,3140.874,nan,2.82
1956-08-01,4.1,3140.874,nan,2.82
1956-09-01,3.9,3140.874,nan,2.82
1956-10-01,3.9,3192.57,nan,2.82
1956-11-01,4.3,3192.57,nan,2.82
1956-12-01,4.2,3192.57,nan,2.82
1957-01-01,4.2,3213.011,nan,2.82
1957-02-01,3.9,3213.011,nan,3.07
1957-03-01,3.7,3213.011,nan,3.07
1957-04-01,3.9,3205.97,nan,3.07
1957-05-01,4.1,3205.97,nan,3.07
1957-06-01,4.3,3205.97,nan,3.07
1957-07-01,4.2,3237.386,nan,3.07
1957-08-01,4.1,3237.386,nan,3.07
1957-09-01,4.4,3237.386,nan,3.07
1957-10-01,4.5,3203.894,nan,3.07
1957-11-01,5.1,3203.894,nan,3.07
1957-12-01,5.2,3203.894,nan,3.0
1958-01-01,5.8,3120.724,nan,3.07
1958-02-01,6.4,3120.724,nan,3.07
1958-03-01,6.7,3120.724,nan,3.07
1958-04-01,7.4,3141.224,nan,3.07
1958-05-01,7.4,3141.224,nan,3.07
1958-06-01,7.3,3141.224,nan,3.07
1958-07-01,7.5,3213.884,nan,3.07
1958-08-01,7.4,3213.884,nan,3.07
1958-09-01,7.1,3213.884,nan,3.07
1958-10-01,6.7,3289.032,nan,3.07
1958-11-01,6.2,3289.032,nan,3.0
1958-12-01,6.2,3289.032,nan,3.0
1959-01-01,6.0,3352.129,nan,3.0
1959-02-01,5.9,3352.129,nan,3.0
1959-03-01,5.6,3352.129,nan,2.97
1959-04-01,5.2,3427.667,nan,2.97
1959-05-01,5.1,3427.667,nan,2.97
1959-06-01,5.0,3427.667,nan,2.97
1959-07-01,5.1,3430.057,nan,2.97
1959-08-01,5.2,3430.057,nan,2.97
1959-09-01,5.5,3430.057,nan,2.97
1959-10-01,5.7,3439.832,nan,2.97
1959-11-01,5.8,3439.832,nan,2.97
1959-12-01,5.3,3439.832,nan,2.97
1960-01-01,5.2,3517.181,nan,2.97
1960-02-01,4.8,3517.181,nan,2.97
1960-03-01,5.4,3517.181,nan,2.97
1960-04-01,5.2,3498.246,nan,2.97
1960-05-01,5.1,3498.246,nan,2.97
1960-06-01,5.4,3498.246,nan,2.97
1960-07-01,5.5,3515.385,nan,2.97
1960-08-01,5.6,3515.385,nan,2.97
1960-09-01,5.5,3515.385,nan,2.97
1960-10-01,6.1,3470.278,nan,2.97
1960-11-01,6.1,3470.278,nan,2.97
1960-12-01,6.6,3470.278,nan,2.97
1961-01-01,6.6,3493.703,nan,2.97
1961-02-01,6.9,3493.703,nan,2.97
