name,description,date,importance,unemployment_rate,unemployment_rate_6m,unemployment_rate_12m,unemployment_rate_18m,unemployment_rate_24m,gdp,gdp_6m,gdp_12m,gdp_18m,gdp_24m,cpi,cpi_6m,cpi_12m,cpi_18m,cpi_24m,oil_price,oil_price_6m,oil_price_12m,oil_price_18m,oil_price_24m
The Vietnam War (1955-1975),"A prolonged conflict between North Vietnam and South Vietnam, significant for its global economic impact through military expenditure and consequences on international relations.",1960-01-01,5,5.2,5.4,6.6,6.9,6.0,3517.181,3498.246,3470.278,3553.021,3692.289,nan,nan,nan,nan,nan,2.97,2.97,2.97,2.97,2.97
The Cuban Missile Crisis (1962),"A 13-day confrontation between the United States and the Soviet Union over Soviet ballistic missiles deployed in Cuba, affecting global politics and economies significantly.",1962-10-16,5,5.4,5.7,5.5,5.3,5.1,3851.421,3937.183,4050.147,4180.592,4259.046,nan,nan,nan,nan,nan,2.97,2.97,2.97,2.97,2.92
The Oil Crisis (1973),"An embargo by OAPEC that caused oil prices to quadruple, leading to a global recession and massive shifts in energy policies worldwide.",1973-10-01,5,4.6,5.1,6.0,8.6,8.4,6150.131,6097.258,6030.464,5957.035,6184.53,4.765238145,6.816162733,10.561468061,11.573788456,8.109587525,4.31,10.11,11.16,11.16,11.16
The Yom Kippur War (1973),"Conflict between Israel and a coalition of Arab states, leading to the oil embargo and significant economic repercussions globally.",1973-10-06,4,4.6,5.1,6.0,8.8,8.4,6150.131,6111.751,6030.464,5999.61,6184.53,4.765238145,7.104721156,10.561468061,11.698351766,8.109587525,4.31,10.11,11.16,11.16,11.16
The Stagflation Period (1970s),"A period characterized by high inflation and stagnant economic growth, impacting global economies and monetary policies.",1970-01-01,4,3.9,4.9,5.9,5.9,5.8,5300.652,5308.164,5443.619,5473.059,5632.649,6.592370014,7.151974844,7.014858012,5.239199701,3.728280469,3.35,3.35,3.56,3.56,3.56
The Iranian Revolution (1979),"The overthrow of the Shah of Iran, leading to a dramatic increase in oil prices and disruptions in global oil supplies.",1979-01-01,5,5.9,5.7,6.3,7.6,7.2,7238.727,7246.454,7341.557,7190.289,7315.677,9.070516336,10.269173247,13.469735746,15.774166719,12.685251999,14.85,19.1,32.5,39.5,37.0
The Fall of the Berlin Wall (1989),"A pivotal event in the end of the Cold War, leading to economic reforms in Eastern Europe and the reunification of Germany.",1989-11-09,4,5.4,5.4,6.2,6.9,7.0,9938.767,10083.855,9998.704,10029.51,10115.329,4.797568826,5.166732439,5.683108196,5.222445891,4.34967757,19.82,18.237,32.3,21.24,22.465
The Gulf War (1990-1991),"A conflict following Iraq's invasion of Kuwait, leading to significant changes in oil prices and global economies.",1990-08-02,5,5.7,6.4,6.9,7.3,7.6,10090.569,9951.916,10080.195,10236.435,10449.673,5.836270781,5.815290409,4.393094508,4.052308746,3.628120085,27.174,24.959,21.688,18.82,21.35
The Internet Boom (1990s),The rapid expansion of the internet leading to the tech boom and significant economic changes globally.,1990-01-01,5,5.4,5.2,6.4,6.9,7.3,10047.386,10083.855,9951.916,10029.51,10236.435,4.905908309,5.370697673,5.815290409,4.934653949,4.052308746,22.641,16.871,24.959,20.195,18.82
The Asian Financial Crisis (1997),"A period of financial crisis that gripped much of Asia, leading to severe economic disruptions and changes in global finance.",1997-07-01,5,4.9,4.7,4.5,4.4,4.3,12471.01,12577.495,12982.752,13191.67,13604.771,2.752239262,2.621535622,2.603335947,2.437823,2.111144,19.63,18.32,14.08,11.28,20.07
The 9/11 Attacks (2001),Terrorist attacks in the U.S. that led to global economic downturns and significant changes in international security and policies.,2001-09-11,5,5.0,5.7,5.7,5.9,6.1,14214.516,14372.785,14519.633,14614.141,14988.782,3.388746,3.46848,3.026606,2.619135,2.174311,25.88,24.42,29.67,33.55,28.29
The Global Financial Crisis (2007-2008),"A severe worldwide economic crisis that occurred, largely due to the housing bubble and financial institution failures, prompting the Great Recession.",2007-01-01,5,4.6,4.6,5.0,5.6,7.3,16611.69,16713.314,16843.003,16943.291,16485.35,3.136734,2.621714,2.747695,2.933931,2.614507,54.57,67.48,92.95,133.93,41.02
The Arab Spring (2010-2012),A series of protest movements across the Arab world that led to significant economic upheaval and changes in governments.,2010-01-01,4,9.8,9.4,9.1,9.1,8.3,16582.71,16743.162,16920.632,17035.114,17367.01,1.170764,0.7780127,0.9539952,1.29395,2.113351,78.22,75.35,89.42,96.29,100.24
The Eurozone Debt Crisis (2010-2012),"A multi-year debt crisis affecting several European countries, impacting the global economy and leading to austerity measures.",2010-01-01,5,9.8,9.4,9.1,9.1,8.3,16582.71,16743.162,16920.632,17035.114,17367.01,1.170764,0.7780127,0.9539952,1.29395,2.113351,78.22,75.35,89.42,96.29,100.24
Brexit Referendum (2016),"The United Kingdom's vote to leave the European Union, causing significant economic uncertainty and changes in international trade.",2016-06-23,5,4.9,4.7,4.3,4.1,4.0,19062.709,19304.352,19506.949,19882.352,20150.476,2.563629,2.585286,2.122109,2.117186,2.551897,48.76,51.97,45.18,57.88,67.87
COVID-19 Pandemic (2020),"The global pandemic leading to health, economic crises, and significant shifts in work and commerce.",2020-01-01,5,3.6,11.0,6.7,5.9,3.9,20693.238,19056.617,20771.691,21389.005,21960.388,2.790484,1.993544,1.600671,2.558145,3.456458,57.52,38.31,47.02,71.38,71.71
Supply Chain Crisis (2021),"Disruptions in global supply chains exacerbated by the COVID-19 pandemic, leading to economic challenges worldwide.",2021-01-01,4,6.4,5.9,4.0,3.6,3.4,21058.379,21389.005,21903.85,21919.222,22403.435,1.400569,2.558145,3.965498,5.39633,6.487554,52.0,71.38,83.22,114.84,78.12
The Ukraine War (2022-Present),"Current conflict impacting global energy prices, food security, and economic stability in Europe and beyond.",2022-02-24,5,3.8,3.6,3.6,3.8,3.9,21903.85,22066.784,22403.435,22780.933,23053.545,4.280304,5.951312,6.525,5.172225,4.403102398,91.64,93.67,76.83,81.39,77.25
U.S.-China Trade War (2018-Present),Trade tensions between the U.S. and China affecting global trade patterns and economic relations.,2018-01-01,4,4.0,4.0,4.0,3.6,3.6,20044.077,20150.476,20431.641,20602.275,20693.238,2.157823,2.551897,2.375054,2.392597,2.790484,63.7,67.87,51.38,54.66,57.52
The Great Recession (2007-2009),A major global economic downturn leading to massive unemployment and economic policy changes worldwide.,2007-12-01,5,5.0,5.4,6.8,9.4,9.9,16915.191,16943.291,16485.35,16269.145,16502.754,2.712396,2.793043,2.777101,2.273815,1.361569,91.73,125.39,57.44,59.16,78.08
The 2000 Dot-com Bubble Burst,The collapse of internet-based stocks leading to significant losses in the tech sector and affecting investment strategies.,2000-01-01,5,4.0,4.0,3.9,4.5,5.7,13878.147,14130.908,14229.765,14271.694,14253.574,2.335519,2.701492,2.972089,3.200619,3.564921,27.18,31.83,28.46,27.6,19.33
The Enron Scandal (2001),Corporate fraud that led to the bankruptcy of Enron and significant impacts on corporate governance and regulations.,2001-12-02,4,5.7,5.8,6.0,6.1,5.7,14253.574,14460.848,14537.58,14743.567,15162.76,3.564921,3.452132,2.792164,2.338588,1.967767,19.33,27.02,29.42,28.14,32.15
The Lehman Brothers Bankruptcy (2008),The bankruptcy of Lehman Brothers signifying the peak of the global financial crisis and leading to nationwide economic discouragement.,2008-09-15,5,6.1,8.7,9.8,9.9,9.5,16854.295,16298.262,16326.281,16582.71,16872.266,3.071629,2.437701,1.602846,0.9255024,0.6638685,103.9,47.98,69.46,81.24,75.31
The Recovery Act (2009),"U.S. government intervention to stimulate the economy following the crisis, impacting various sectors and employment.",2009-02-17,4,8.3,9.6,9.8,9.5,9.0,16298.262,16326.281,16582.71,16872.266,16920.632,2.54257,1.757047,1.048684,0.6911158,1.117829,39.16,71.06,76.42,76.82,89.58
The TARP Program (2008),"The Troubled Asset Relief Program aimed to stabilize the financial sector during the crisis, influencing future regulatory frameworks.",2008-10-03,4,6.5,9.0,10.0,9.9,9.4,16485.35,16269.145,16502.754,16743.162,16960.864,2.922213,2.359914,1.509202,0.869413,0.6723344,76.65,49.79,75.82,84.48,81.9
The U.S.-Mexico-Canada Agreement (USMCA) (2020),"A trade agreement between the U.S., Canada, and Mexico replacing NAFTA, impacting trade patterns in North America.",2020-07-01,4,10.2,6.7,5.4,3.9,3.5,20548.793,20771.691,21571.421,21960.388,22066.784,2.281283,1.600671,2.323597,3.456458,5.59073,40.71,47.02,72.49,71.71,101.62
The European Sovereign Debt Crisis (2010-2012),"Economic turmoil in Europe due to excessive debt levels, leading to bailouts and fiscal policy reassessments.",2010-01-01,5,9.8,9.4,9.1,9.1,8.3,16582.71,16743.162,16920.632,17035.114,17367.01,1.170764,0.7780127,0.9539952,1.29395,2.113351,78.22,75.35,89.42,96.29,100.24
The Rise of BRICS (2001),The creation of the BRICS economic group impacted global economic influence and trade relations.,2001-01-01,4,4.2,4.5,5.7,5.8,5.8,14183.12,14271.694,14372.785,14460.848,14614.141,2.878468,3.200619,3.557463,3.241692,2.778159,29.58,27.6,19.67,25.52,32.94
China's Accession to WTO (2001),China joining the World Trade Organization significantly changed global trade relations and policies.,2001-12-11,5,5.7,5.8,6.0,6.3,5.7,14253.574,14460.848,14537.58,14743.567,15162.76,3.564921,3.241692,2.792164,2.261697,1.967767,19.33,25.52,29.42,30.72,32.15
The Hyperinflation in Zimbabwe (2000s),A period of economic crisis marked by extreme hyperinflation affecting the economy and social stability.,2000-01-01,4,4.0,4.0,3.9,4.5,5.7,13878.147,14130.908,14229.765,14271.694,14253.574,2.335519,2.701492,2.972089,3.200619,3.564921,27.18,31.83,28.46,27.6,19.33
The Civil War in Syria (2011-Present),Conflict leading to significant humanitarian and economic impacts on Syria and its neighboring countries.,2011-03-15,5,9.0,9.0,8.2,7.8,7.5,16920.632,17031.313,17367.01,17469.65,17662.4,1.179972,1.721515,2.122799,2.219253,2.096923,102.94,85.61,106.19,94.72,93.05
The Global Climate Change Conferences (1995-Present),"Ongoing international talks aimed at addressing climate change, with broad economic implications for industries and economies.",1995-01-01,4,5.6,5.6,5.6,5.3,5.4,11319.951,11353.721,11614.418,11808.14,12037.775,3.144200833,3.332283478,3.277075064,3.051784638,3.05642197,17.99,18.42,18.88,20.45,25.39
The Paris Agreement (2015),An agreement within the UN Framework Convention on Climate Change to combat climate change and its impacts on economies globally.,2015-12-12,4,5.0,4.9,4.7,4.3,4.1,18892.206,19062.709,19304.352,19506.949,19882.352,2.437497,2.563629,2.585286,2.122109,2.117186,37.19,48.76,51.97,45.18,57.88
The Expansion of the European Union (2004),"The accession of ten new countries impacting trade, governance, and the economic landscape in Europe.",2004-05-01,4,5.6,5.5,5.1,5.0,4.6,15366.85,15670.88,15922.782,16136.734,16396.151,2.228612,2.229333,2.350311,2.318218,2.778406,40.28,53.13,49.83,62.37,70.94
The Rise of Gig Economy (2010s),"A labor market characterized by short-term contracts and freelance work, fundamentally changing economic structures.",2010-01-01,4,9.8,9.4,9.1,9.1,8.3,16582.71,16743.162,16920.632,17035.114,17367.01,1.170764,0.7780127,0.9539952,1.29395,2.113351,78.22,75.35,89.42,96.29,100.24
The Venezuelan Economic Crisis (2010s),A socio-economic crisis in Venezuela marked by hyperinflation and a decline in living standards.,2010-01-01,5,9.8,9.4,9.1,9.1,8.3,16582.71,16743.162,16920.632,17035.114,17367.01,1.170764,0.7780127,0.9539952,1.29395,2.113351,78.22,75.35,89.42,96.29,100.24
The Trade Agreement between US and South Korea (2012),A free trade agreement affecting economic relations and trade flows between two major economies.,2012-03-15,4,8.2,7.8,7.5,7.2,6.7,17367.01,17469.65,17662.4,17860.45,17953.974,2.122799,2.219253,2.096923,1.888205,1.821445,106.19,94.72,93.05,106.29,100.8
The Greek Debt Crisis (2010),A severe debt crisis in Greece that led to economic reforms and austerity measures affecting the EU's stability.,2010-01-01,5,9.8,9.4,9.1,9.1,8.3,16582.71,16743.162,16920.632,17035.114,17367.01,1.170764,0.7780127,0.9539952,1.29395,2.113351,78.22,75.35,89.42,96.29,100.24
The South Sea Bubble (1711-1720),"A speculative bubble affecting the British economy, though this reference encompasses earlier history, its lessons are relevant in economic crises today.",1711-01-01,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
The Rise of Digital Currencies (2010s),Increase in popularity of cryptocurrencies impacting global finance and regulation policies.,2010-01-01,4,9.8,9.4,9.1,9.1,8.3,16582.71,16743.162,16920.632,17035.114,17367.01,1.170764,0.7780127,0.9539952,1.29395,2.113351,78.22,75.35,89.42,96.29,100.24
The African Continental Free Trade Area (2018),"The agreement aimed to create a single market for goods and services across Africa, with significant economic implications.",2018-05-30,4,3.8,3.8,3.6,3.6,13.2,20150.476,20304.874,20602.275,20985.448,19056.617,2.543212,2.476418,2.360903,2.772021,2.01414,69.98,56.96,60.83,57.03,28.56
