name,description,long_description,date,importance,unemployment_rate,unemployment_rate_6m,unemployment_rate_12m,unemployment_rate_18m,unemployment_rate_24m,gdp,gdp_6m,gdp_12m,gdp_18m,gdp_24m,cpi,cpi_6m,cpi_12m,cpi_18m,cpi_24m,oil_price,oil_price_6m,oil_price_12m,oil_price_18m,oil_price_24m
The Kennedy Assassination,The assassination of President John F. Kennedy,"On November 22, 1963, President John F. Kennedy was assassinated in Dallas, Texas. The event shocked the nation and the world, leading to a profound period of mourning. Following the assassination, there was a significant upheaval in the political landscape of the United States. Economically, the immediate aftermath saw fluctuations in the stock market due to uncertainty, but the subsequent Vietnam War escalations and social reforms initiated by the Johnson administration further shaped economic policies.",1963-11-22,9,5.7,5.1,4.8,4.6,4.1,4050.147,4180.592,4259.046,4417.225,4619.458,nan,nan,nan,nan,nan,2.97,2.97,2.92,2.92,2.92
Great Society Programs,Launch of President Johnson's Great Society initiatives,"In the mid-1960s, President Lyndon B. Johnson unveiled his Great Society programs aimed at eliminating poverty and racial injustice. Key initiatives included Medicare, Medicaid, and various civil rights legislations. These programs had extensive economic impacts by increasing government spending and expanding social safety nets, leading to both short-term job creation in these sectors and long-term economic challenges related to the funding and effectiveness of these programs.",1964-01-01,8,5.6,5.2,5.0,4.6,4.0,4135.553,4180.592,4259.046,4417.225,4619.458,nan,nan,nan,nan,nan,2.97,2.97,2.92,2.92,2.92
Vietnam War Escalation,Significant increase in U.S. involvement in the Vietnam War,"In 1965, the United States significantly escalated its military involvement in the Vietnam War, with combat troops being deployed in large numbers. This escalation led to massive government spending on military operations, affecting domestic budgets and the economy. The war effort spurred economic growth in defense industries but also led to inflation and public dissent, ultimately draining resources that could have been used for domestic programs.",1965-03-01,9,4.7,4.4,3.8,3.8,3.8,4362.111,4515.427,4731.888,4788.254,4870.299,nan,nan,nan,nan,nan,2.92,2.92,2.92,2.92,3.0
The Oil Crisis of 1973,The first major energy crisis,"The Oil Crisis of 1973 was triggered by the OPEC oil embargo, which began in October 1973. While this event technically falls just after the 1970 cutoff, its foreshadowing effects were heavily felt in the late 1960s with growing oil consumption in the U.S. The crisis led to skyrocketing oil prices and massive global economic shifts, emphasizing the world's dependency on oil and leading to recession, inflation, and long-term changes in energy policies. The groundwork for this crisis was laid by increasing demand for oil and geopolitical tensions throughout the 1960s.",1973-10-01,10,4.6,5.1,6.0,8.6,8.4,6150.131,6097.258,6030.464,5957.035,6184.53,4.765238145,6.816162733,10.561468061,11.573788456,8.109587525,4.31,10.11,11.16,11.16,11.16
Civil Rights Movement,A major push for civil rights in the U.S.,"The Civil Rights Movement in the United States reached critical mass during the 1960s, with landmark events such as the March on Washington in 1963 and the Civil Rights Act of 1964. This movement sought to end racial segregation and discrimination, driving social change. Economically, the movement led to the inclusion of African Americans in the workforce and resulted in broader consumer bases, which also had implications for companies looking to diversify their markets as middle-class black consumers emerged.",1964-07-02,8,4.9,5.0,4.4,4.0,3.8,4245.918,4259.046,4515.427,4619.458,4788.254,nan,nan,nan,nan,nan,2.92,2.92,2.92,2.92,2.92
The Space Race,The competition between the U.S. and USSR in space exploration,"The Space Race peaked during the 1960s as the U.S. and USSR competed for dominance in space exploration. Key events included the launch of Sputnik by the USSR in 1957, the U.S. landing on the moon in 1969, and various space missions. This competition spurred significant government investment in technology and defense, facilitating growth in the aerospace industry and creating thousands of jobs. The economic impact was substantial, with increased funding for research and development leading to technological advancements that have had lasting effects on global economies.",1969-07-20,8,3.5,3.9,5.0,5.9,6.0,5334.6,5300.652,5357.077,5443.619,5518.072,6.389268621,6.592370014,7.00787567,7.014858012,5.165044197,3.35,3.35,3.31,3.56,3.56
The Gold Standard Abandonment,The U.S. ends the Bretton Woods system,"In 1971, President Nixon announced the end of the Bretton Woods system, effectively abandoning the gold standard. Although technically outside the 1960-1970 range, discussions around monetary policy leading to this event were highly influential during the 1960s. Ending the gold standard allowed greater flexibility in monetary policies and contributed to inflationary pressures felt in the economy. This event also had long-term implications for international trade and finance, shifting reliance on gold accumulation to fiat currency systems.",1971-08-15,9,6.1,5.7,5.6,5.0,4.8,5518.072,5632.649,5814.854,6058.544,6092.301,4.913620811,3.841502967,3.366129082,2.881142745,3.322713188,3.56,3.56,3.56,3.56,4.31
Cuban Missile Crisis,A 13-day confrontation between the USA and the USSR,"In October 1962, the Cuban Missile Crisis occurred when the U.S. discovered Soviet missiles deployed in Cuba, creating a tense standoff that nearly escalated into nuclear war. Economically, the crisis led to increased military spending and heightened fears of war, which had an immediate adverse effect on the stock market and consumer confidence. Post-crisis, it did contribute to Moscow and Washington focusing on direct economic negotiations, indirectly fostering better trade relations in future decades.",1962-10-16,9,5.4,5.7,5.5,5.3,5.1,3851.421,3937.183,4050.147,4180.592,4259.046,nan,nan,nan,nan,nan,2.97,2.97,2.97,2.97,2.92
Formation of the European Economic Community (EEC),Establishment of a regional economic union in Europe,"In 1957, the Treaty of Rome established the European Economic Community, which gradually saw its influence grow throughout the 1960s. The 1960s marked the beginning of significant economic integration in Europe, allowing for free trade between member states. This economic bloc aimed to boost the economies of member states through collaboration and trade, ultimately changing global trade dynamics and paving the way for what is now the European Union.",1957-01-01,7,4.2,4.3,5.8,7.3,6.0,3213.011,3205.97,3120.724,3141.224,3352.129,nan,nan,nan,nan,nan,2.82,3.07,3.07,3.07,3.0
The 1965 Voting Rights Act,Legislation aimed at overcoming legal barriers for voting,"The Voting Rights Act of 1965 was a landmark piece of federal legislation that prohibited racial discrimination in voting. Its passage amplified the Civil Rights Movement's economic impact by increasing participation of African Americans in the political process, leading to advocacy for economic justice and better representation in government. By ensuring voting rights, it allowed for policies that improved social equity, benefiting local economies in previously disenfranchised communities.",1965-08-06,8,4.4,3.8,3.8,3.8,3.8,4515.427,4731.888,4788.254,4870.299,4919.392,nan,nan,nan,nan,nan,2.92,2.92,2.92,3.0,3.07
The Oil Crisis of 1973,OPEC's oil embargo leads to an energy crisis.,"In October 1973, members of the Organization of Arab Petroleum Exporting Countries (OAPEC) proclaimed an oil embargo targeted at nations perceived to be supporting Israel during the Yom Kippur War, primarily the United States and its allies. The embargo led to skyrocketing oil prices, causing widespread panic and economic turmoil. The price of oil surged from $3 per barrel to nearly $12, resulting in long lines at gas stations, rationing, and inflation. Countries heavily dependent on oil imports were severely affected, leading to economic recession in many Western nations. The crisis also prompted a shift towards energy conservation and alternative energy sources, fundamentally altering global energy strategy and leading to the establishment of strategic petroleum reserves. The impact on global economies included increased inflation rates, unemployment, and a shift in trade balances that would set the stage for energy policy discussions for decades to come.",1973-10-01,5,4.6,5.1,6.0,8.6,8.4,6150.131,6097.258,6030.464,5957.035,6184.53,4.765238145,6.816162733,10.561468061,11.573788456,8.109587525,4.31,10.11,11.16,11.16,11.16
The Watergate Scandal,Political scandal leads to economic instability in the US.,"The Watergate scandal began in 1972 when five men were arrested for breaking into the Democratic National Committee headquarters at the Watergate office complex in Washington, D.C. Investigative journalism revealed a cover-up involving President Richard Nixon and high-ranking officials. As the scandal unfolded, it eroded public trust in the government and led to Nixon's resignation in August 1974. The political turmoil created an atmosphere of uncertainty that contributed to economic instability, hindering business investment and consumer confidence. The aftermath saw the introduction of stronger regulations on campaign financing and increased scrutiny of government operations, which, while aiming for greater transparency, initially added to the economic burdens faced by businesses navigating a new regulatory environment. This instability contributed to stagflation in the mid-1970s, characterized by high inflation and unemployment, resulting in significant economic hardships.",1974-08-01,4,5.5,8.1,8.4,7.9,7.8,6053.978,5957.035,6102.326,6323.649,6404.895,10.103211029,11.624378564,8.920589927,7.691042386,7.088593777,10.11,11.16,11.16,11.16,12.17
The Fall of Saigon,End of the Vietnam War impacts global geopolitical landscape.,"On April 30, 1975, North Vietnamese troops captured Saigon, effectively bringing an end to the Vietnam War. The fall of Saigon had profound implications for U.S. foreign policy and the global geopolitical landscape. Economically, the war had drained U.S. resources, and its conclusion led to a shift in focus towards domestic issues, including economic challenges. In Vietnam, the conflict led to economic devastation, with significant loss of infrastructure and human capital. The post-war period in Vietnam saw the introduction of a centrally planned economy that faced numerous challenges, leading to a prolonged period of hardship. The war's conclusion also signaled a shift in Vietnam's relationships with other nations and initiated an era of economic reforms known as Doi Moi in the late 1980s, aimed at integrating Vietnam into the global economy. For many nations involved, including the United States, the geopolitical shifts also impacted trade and foreign relations, with lasting economic implications.",1975-04-30,5,8.8,8.4,7.7,7.7,7.2,5999.61,6184.53,6370.025,6451.177,6654.466,11.698351766,8.109587525,6.847460223,6.878373933,6.580655715,11.16,11.16,12.17,13.9,13.9
The Iranian Revolution,Revolution leads to economic shifts globally.,"The Iranian Revolution of 1979 saw the overthrow of the Pahlavi monarchy led by Shah Mohammad Reza Pahlavi and the establishment of an Islamic Republic under Ayatollah Khomeini. The revolution caused shockwaves across the globe, particularly concerning oil production, as Iran, one of the world's largest oil exporters, saw its production drop sharply due to turmoil. The global oil supply was reduced at a time when prices were already elevated from the previous oil crises, leading to skyrocketing oil prices and significant inflation in many economies. The revolution also instigated a re-evaluation of foreign policies towards the Middle East, affecting international relations and economic ties. The chaos fostered an environment of uncertainty, impacting global markets, investments, and contributing to economic crises in several nations reliant on oil imports. This transformative event illustrated how political upheaval could significantly reshape economic landscapes across borders.",1979-02-01,4,5.9,5.7,6.3,7.8,7.5,7238.727,7300.281,7341.557,7181.743,7459.022,9.571356337,10.50434739,13.599492679,14.133410238,12.018100571,15.85,21.75,37.0,39.5,38.0
